"","No","H_A","D1_A","D2_A","D1_P","D2_P","W_m_A","W_s_A","W_a_A","L_b_A","L_v_A","W_d_A","W_ia_A","W_r_A","W_L","W_A","W_m_L","S","FE","A","W_c_A","D12_P","H_A_L"
"45",45,39287.54044,44082,69471,0.202593893,0.319277718,143876.7579,0.00000001,59720.15583,40435.38936,116399.9034,9393.72385,0.00000001,0.00000001,4241.817465,212990.6376,2636.593393,0.000244434,6.9705705,369825.9304,203596.91375,0.116683825,3
"46",46,29651.94981,75429,117459,0.274937124,0.428135593,144401.0183,0.00000001,99487.46037,46359.41133,229173.5285,883.474829,0.00000001,0.00000001,6197.95677,244771.9535,1986.32664,0.000541037,7.9098708,520304.8934,243888.478671,0.153198469,2
"47",47,35466.59634,22545,52110,0.291988292,0.674895094,146985.036,0.00000001,0.00000001,6740.052013,180970.4517,3991.787479,0.00000001,0.00000001,2740.934006,150976.8235,2165.689175,0.000110769,11.4926708,338687.3272,146985.036021,0.382906802,2
"48",48,29259.85304,70614,110916,1.087305987,1.707871397,159695.1842,7968.842567,0.00000001,768.309926,33925.91355,0.00000001,0.00000001,0.00000001,2408.126046,167664.0268,1929.890401,0.000550794,6.604490714,202358.2503,167664.02679999,0.62056541,2
"49",49,32283.7404,35712,73404,1.127343898,2.317191742,136304.839,11920.54715,0.00000001,9351.761862,17999.07715,0.00000001,0.00000001,0.00000001,3141.96456,148225.3862,1930.329177,0.000145641,7.7637905,175576.2252,148225.38619999,1.189847844,2
"50",50,35175.53855,19215,39672,0.274814073,0.567391304,143248.6671,0.00000001,28425.27556,13491.36914,129178.0501,8834.348926,0.00000001,0.00000001,4579.186332,184793.2953,1839.754884,0.0000427,6.489609,327462.7145,175958.946374,0.292577231,2
"51",51,32503.72333,45504,92988,0.293885143,0.60055801,174734.612,0.00000001,0.00000001,25598.28627,678250.5867,5858.339709,0.00000001,0.00000001,3945.773515,180592.9517,3154.432999,0.000474107,7.316898,884441.8247,174734.611991,0.306672867,2
"52",52,19440.79143,82935,168552,0.640029326,1.30075629,173451.0133,0.00000001,0.00000001,33791.8003,361563.6155,12367.93654,0.00000001,0.00000001,4712.246269,185818.9499,3344.109403,0.000873285,7.3308872,581174.3657,173451.01336,0.660726964,1
"53",53,43015.70653,56475,123435,0.765492843,1.673105075,175515.5023,0.00000001,1306.367944,1110.69017,114964.1586,0.00000001,0.00000001,0.00000001,2139.976908,176821.8702,1978.65979,0.000230491,8.062655333,292896.719,176821.87019999,0.907612232,3
"54",54,28456.78827,25542,101214,0.456555546,1.80916972,164686.7499,0.00000001,0.00000001,2631.113125,102562.1409,0.00000001,0.00000001,1036.364795,2009.411836,164686.7499,2009.411836,0.00014134,7.532436,270916.3687,164686.74989999,1.352614174,1
"55",55,52765.83862,35190,75672,0.449838932,0.967326277,119301.9482,0.00000001,52799.52134,4882.786134,66444.20592,0.00000001,813.342666,1144.97916,3551.691025,172914.8122,1973.120694,0.0000535,8.5838574,245386.7834,172914.81219999,0.517487345,3
"56",56,40545.8744,49671,131193,0.59420758,1.569444444,134068.5787,0.00000001,35537.11236,17270.97146,194312.3675,0.00000001,0.00000001,0.00000001,4285.34427,169605.6911,2040.381176,0.000393576,6.29521875,381189.03,169605.69109999,0.975236864,3
"57",57,45146.28083,61245,118827,1.277134814,2.477885518,162745.2227,0.00000001,0.00000001,2295.846025,34715.22892,0.00000001,0.00000001,2985.108205,2516.058788,162745.2227,2516.058788,0.000469561,7.1668315,202741.4059,162745.22269999,1.200750704,3
"58",58,27320.19169,31941,74034,0.537835926,1.246615478,128955.4114,0.00000001,24785.2807,25371.25579,46517.43991,0.00000001,0.00000001,0.00000001,4008.399124,153740.6921,2157.187009,0.000336641,7.4647455,225629.3878,153740.69209999,0.708779552,1
"59",59,23439.23082,27477,69543,0.489890886,1.239890886,154216.3602,0.00000001,437.850369,0.00000001,19636.76551,0.00000001,585.438597,0.00000001,2272.523944,155239.6492,2052.155109,0.000135288,6.013445,174876.4147,155239.64919999,0.75,1
"60",60,29106.10146,17406,39384,0.425647421,0.963098819,116790.8405,0.00000001,0.00000001,10372.18675,0.00000001,0.00000001,0.00000001,0.00000001,2046.484814,116790.8405,2046.484814,0.0000668,6.32006725,127163.0272,116790.84049999,0.537451398,1
"61",61,29303.8617,42156,88632,0.735976536,1.547373383,140115.4394,0.00000001,0.00000001,17194.78245,10861.6447,0.00000001,0.00000001,0.00000001,2283.297513,141348.3302,2089.949355,0.000271644,7.394952286,169404.7573,141348.33019999,0.811396847,2
"62",62,36909.27072,62262,141093,1.347662338,3.053961039,164000.2969,0.00000001,35880.84875,7835.334807,60076.63813,0.00000001,0.00000001,0.00000001,3643.773431,199881.1457,1847.43939,0.000464761,7.471843333,267793.1186,199881.14569999,1.706298701,2
